knihy_id;osoby_id;oddeleni_id;Attribute:exemplare_id;poznamka
429;444;3;1810;
1273;489;5;1812;
948;81;4;1828;
1033;447;3;1836;Některé stánky jsou potrhané
755;476;2;1837;
376;526;4;1840;
1017;572;1;1841;
1112;276;3;1861;
680;561;2;1865;
577;117;3;1885;
99;183;2;1888;
298;414;3;1889;
1040;138;4;1894;
783;207;2;1927;
1510;143;4;1929;
1042;463;2;1943;
1265;484;4;1954;
815;88;2;1955;
410;154;3;1970;
919;6;2;1982;
926;534;1;1992;
1426;503;1;1993;
595;182;4;1998;Vzácná, s věnováním, není určena již určena k půjčování
47;446;4;2003;
1001;229;2;2007;
971;270;4;2015;
1011;440;4;2020;
244;327;1;2025;
139;138;4;2039;
781;188;1;2041;
535;98;1;2063;
866;439;4;2064;
682;303;1;2065;
1021;217;1;2076;
251;445;6;2091;
729;166;3;2093;
184;520;4;2097;Poškozená vazba
1463;275;2;2109;
648;243;1;2122;
875;21;1;2126;
554;276;3;2145;
1275;377;2;2146;Některé stánky jsou potrhané
60;270;4;2152;
1128;394;4;2169;Chybí obsah
1236;520;4;2190;
190;439;4;2194;
820;303;1;2196;
1252;246;2;2210;
1285;300;2;2216;
1245;524;3;2217;
313;287;4;2227;
782;445;6;2232;
810;411;3;2236;
1489;495;5;2249;
1030;1;6;2259;
1305;354;6;2262;
438;134;2;2281;
441;227;4;2285;
441;107;2;2290;
1403;460;4;2291;
440;561;2;2297;
934;400;3;2300;
743;210;6;2304;
454;450;1;2311;
1075;575;2;2334;
209;486;3;2336;
925;334;6;2338;
1408;402;1;2347;
728;283;2;2349;
638;47;2;2357;
859;164;2;2359;
1049;268;3;2363;
623;157;1;2364;
716;519;1;2365;
1066;29;3;2367;
1265;387;1;2373;
1448;98;1;2380;
1426;107;2;2390;
1024;486;3;2391;
9;144;6;2393;
1447;289;1;2397;
200;542;4;2409;
569;206;3;2421;
763;180;3;2423;
380;48;2;2450;
520;129;3;2457;
795;452;1;2460;
185;21;1;2462;
1383;403;6;2474;
859;478;3;2482;
949;371;2;2488;
258;356;2;2494;
1463;143;4;2511;
786;551;1;2516;
208;204;3;2530;Poškozená vazba
730;354;6;2536;
413;531;3;2574;
1151;399;2;2597;
364;94;2;2616;
171;246;4;2629;
1316;513;3;2631;
566;113;2;2637;
239;382;6;2651;
94;21;1;2655;
1049;259;2;2658;
221;44;6;2666;
1372;391;2;2669;
133;74;2;2671;
663;207;2;2672;
160;280;2;2694;
652;157;1;2700;
881;476;2;2707;Vzácná, s věnováním, není určena již určena k půjčování
1511;9;3;2723;
807;476;2;2729;
522;488;2;2744;
1067;44;6;2746;
1232;317;3;2751;
1314;29;1;2752;
364;307;3;2758;Chybí obsah
1370;159;6;2761;
1000;107;2;2762;K dispozici jen prezenčně
139;96;2;2765;
918;287;4;2769;
1483;542;4;2778;
784;234;6;2781;
405;180;3;2783;Vzácná, s věnováním, není určena již určena k půjčování
120;488;2;2795;
1315;47;2;2819;
844;182;4;2821;
525;484;5;2830;
1156;283;2;2835;
1311;14;2;2838;
531;184;1;2842;
150;439;4;2845;
440;411;3;2856;
874;9;3;2861;
1357;460;4;2870;
146;526;4;2875;
488;118;4;2883;
186;541;3;2887;Salátové vydání
1066;324;1;2889;
1256;526;4;2910;Chybí některé strany
1462;383;1;2916;K dispozici jen prezenčně
1052;472;4;2924;
851;317;3;2937;
919;540;1;2957;
944;452;1;2960;
343;78;1;2962;
895;255;1;2979;
88;575;2;2984;Salátové vydání
368;383;2;2989;
428;520;4;3020;
533;377;2;3021;
1498;275;2;3034;
994;377;2;3041;
688;117;3;3042;
263;259;2;3043;
377;93;1;3051;
1015;292;1;3060;
360;559;1;3066;
1400;219;6;3068;Fotokopie originálu
155;226;3;3069;Vzácná, s věnováním, není určena již určena k půjčování
120;387;1;3071;
746;473;1;3073;
426;477;1;3076;
1064;32;3;3077;
278;182;4;3085;
1539;303;1;3100;
270;277;3;3107;
1173;440;4;3109;
1305;530;1;3110;
782;542;4;3117;
532;494;6;3122;
1538;98;1;3125;
1394;484;4;3130;
129;138;4;3132;
965;197;3;3163;
1112;278;4;3177;
586;332;3;3199;
1048;447;3;3202;
1480;470;6;3215;
343;437;2;3218;
731;166;3;3223;
1511;283;2;3225;Určené k vyřazení
1530;87;2;3232;
187;88;1;3242;
754;146;6;3253;
830;39;6;3257;
1357;461;2;3270;
821;312;4;3273;
1092;5;1;3295;
1017;81;4;3296;
638;335;4;3300;
517;275;2;3317;
189;154;3;3322;
771;469;2;3338;
851;312;4;3340;
1330;332;3;3357;
1040;152;5;3358;
569;143;4;3360;
723;352;6;3372;
72;118;4;3378;
29;96;2;3389;
1304;259;2;3394;
1407;28;2;3396;
1457;195;3;3397;
189;519;1;3414;
834;277;6;3425;
1460;230;2;3426;
1117;145;2;3431;Poškozená vazba
587;281;5;3435;
139;394;2;3446;
1183;561;2;3450;
810;152;5;3471;
1375;201;2;3473;
1028;82;1;3480;
246;423;1;3481;
743;28;2;3487;
206;477;1;3500;
974;197;3;3506;
29;421;2;3509;
362;247;6;3516;Salátové vydání
50;414;3;3530;
990;265;2;3539;
1421;479;4;3540;
1501;444;3;3554;
1400;72;4;3561;
1426;472;4;3562;
360;159;6;3583;
549;368;3;3593;
614;479;4;3596;
1486;231;6;3603;
723;515;1;3619;
213;437;1;3622;
410;117;3;3626;
1462;526;4;3633;
159;551;1;3664;
304;125;5;3666;Určené k vyřazení
83;336;4;3668;
931;268;3;3670;
720;385;6;3672;
728;335;4;3676;
440;472;4;3680;
1465;81;4;3690;
1143;69;6;3695;
1538;431;2;3702;
268;66;3;3724;
1298;520;4;3727;
1392;423;1;3730;
543;197;3;3732;
512;545;3;3739;
1347;207;2;3740;
38;46;1;3745;Salátové vydání
688;399;2;3760;
31;505;1;3764;
1047;408;6;3765;
232;330;3;3766;
202;113;2;3769;
854;374;1;3770;
739;144;6;3771;
272;229;2;3772;
522;335;4;3773;
632;439;4;3782;
1068;336;4;3783;
1397;507;4;3794;
71;66;5;3797;
443;246;4;3798;
483;74;2;3804;
426;118;4;3806;
862;33;6;3807;
904;82;1;3813;
1260;323;6;3819;
562;479;4;3826;
45;115;2;3847;
980;21;1;3855;
277;29;1;3860;
543;536;4;3873;
493;439;4;3876;
268;181;1;3905;
632;183;2;3908;
978;81;4;3910;
684;556;1;3913;Poškozená vazba
1327;265;2;3926;
472;460;4;3927;
380;287;4;3932;
618;145;2;3936;
1419;248;2;3962;
499;474;2;3968;
454;472;4;3971;
1301;138;4;3979;
958;170;5;3992;
435;67;1;4002;
777;377;2;4013;
1316;330;2;4017;
1011;87;2;4019;
882;396;1;4025;
1452;117;3;4030;
1421;50;3;4035;
1053;335;4;4042;
773;387;1;4043;
623;107;4;4045;
1314;1;3;4064;
1075;131;3;4067;
862;471;6;4071;
509;520;4;4076;
1041;520;4;4083;
1508;336;4;4088;Poškozená vazba
174;293;2;4095;
450;486;3;4100;
242;14;2;4112;
409;306;1;4122;K dispozici jen prezenčně
1313;246;4;4125;
697;521;1;4127;
739;116;3;4132;
716;115;2;4166;
1474;270;4;4173;
1051;89;2;4176;
208;144;6;4182;
1462;312;4;4190;
120;293;2;4194;
1052;117;3;4201;Určené k vyřazení
1378;336;4;4206;
1496;337;5;4209;
1481;306;1;4212;
190;311;5;4218;
136;463;2;4221;
1092;259;2;4224;
289;474;2;4234;
1325;280;2;4253;
334;378;5;4256;
1311;44;2;4261;
680;352;6;4266;
965;245;2;4270;
184;436;1;4283;
441;33;6;4306;
715;413;2;4307;
1272;575;2;4311;
828;270;4;4325;
468;312;4;4366;
586;336;4;4368;
627;446;4;4379;
773;519;1;4393;
1306;504;1;4404;Poškozená vazba
1497;270;4;4414;
406;281;5;4416;
1075;105;2;4429;
147;283;2;4430;
766;170;5;4435;
232;48;2;4436;
308;421;4;4440;
1363;439;4;4441;
277;69;6;4446;
1331;436;1;4451;
321;278;4;4461;
1128;46;1;4466;
1086;446;4;4513;Fotokopie originálu
1483;118;4;4514;
921;460;4;4529;
636;146;6;4534;
506;146;6;4543;Vzácná, s věnováním, není určena již určena k půjčování
615;321;5;4547;Fotokopie originálu
1202;452;1;4556;
276;239;1;4584;
1115;284;5;4585;
447;414;3;4601;
686;277;3;4609;
666;531;2;4610;
1435;354;6;4614;
22;541;3;4622;
782;460;4;4624;Určené k vyřazení
107;231;6;4625;
1384;104;6;4628;
443;481;3;4636;
886;29;1;4648;
568;265;2;4660;
239;283;2;4668;
664;320;1;4697;Určené k vyřazení
663;287;4;4718;
1177;71;1;4721;
1248;395;6;4724;
809;561;2;4727;
654;312;1;4736;
1041;336;4;4739;
1392;272;1;4747;
1072;489;5;4748;
459;307;3;4751;
360;118;4;4758;
587;43;3;4762;
186;74;2;4774;
70;264;6;4791;
368;21;1;4797;
47;217;1;4812;
435;575;2;4818;
1100;264;6;4832;
854;479;4;4833;
569;473;1;4863;
886;1;6;4867;
1295;287;4;4889;
104;550;5;4910;
807;520;4;4911;
359;311;5;4917;
984;86;6;4932;
580;488;2;4945;Vzácná, s věnováním, není určena již určena k půjčování
1358;563;1;4946;
438;24;2;4949;
910;191;3;4953;
1017;306;1;4954;
663;9;3;4956;
449;540;1;4968;
1221;474;2;4976;
1138;230;2;4984;
969;463;2;4989;
484;33;6;5004;
951;278;4;5011;
1448;469;2;5012;
624;470;2;5023;
1146;430;1;5026;
1157;495;5;5027;
184;421;6;5029;
244;5;1;5032;
747;157;1;5037;
891;458;6;5046;
258;107;3;5060;
29;414;3;5070;
175;444;3;5073;
1013;484;4;5074;
587;572;1;5075;
1324;275;2;5111;
484;335;4;5132;
1282;229;2;5145;
778;520;4;5153;
773;245;2;5158;
90;324;1;5164;
1101;191;3;5176;
1142;6;2;5180;
678;520;4;5183;
954;293;2;5189;
104;131;3;5195;
1087;112;5;5197;
1045;391;2;5202;
1206;401;3;5217;
1029;184;6;5221;
1026;444;3;5231;
882;307;3;5246;
498;561;2;5256;
1378;399;2;5268;
223;446;4;5284;
1327;105;2;5285;
666;460;4;5286;
1390;213;2;5304;Určené k vyřazení
1082;160;2;5305;
171;556;1;5308;
777;452;1;5338;
1347;247;6;5339;
475;484;4;5340;Fotokopie originálu
1122;29;1;5348;
348;234;6;5350;
1185;330;2;5354;
91;440;4;5370;
747;335;4;5380;
594;227;6;5385;
370;238;6;5388;
360;94;2;5392;
554;473;1;5408;
1480;287;4;5412;
585;44;6;5418;
1501;24;2;5428;
304;392;6;5429;
384;98;1;5431;
1507;504;1;5432;
200;496;1;5442;
428;24;2;5453;
1412;16;6;5458;
185;542;4;5460;Vzácná, s věnováním, není určena již určena k půjčování
345;29;3;5467;
1445;437;2;5479;
818;131;3;5480;
1212;414;3;5488;
618;152;5;5489;
192;183;2;5491;
588;143;2;5532;
792;207;2;5538;
1513;440;4;5547;
1072;494;6;5561;
204;540;1;5568;
270;189;1;5588;
180;317;3;5619;
1296;134;2;5621;
666;74;2;5631;
736;287;4;5645;
789;521;2;5647;
1435;374;1;5656;
1448;145;2;5661;
1285;460;4;5662;
1498;139;6;5680;
228;91;2;5692;
467;484;4;5695;
685;71;1;5701;
621;393;3;5713;
457;462;3;5715;
254;130;2;5724;
1072;217;1;5746;
538;519;2;5749;
1090;154;3;5754;
977;278;4;5765;
715;245;2;5784;
652;327;1;5789;
355;50;3;5795;
486;125;5;5813;
56;561;2;5816;
962;396;1;5827;
1045;142;4;5846;
913;445;6;5863;
1523;496;1;5871;
880;521;2;5875;
210;431;2;5882;
155;129;3;5902;
1252;521;2;5903;
133;368;3;5907;
854;524;3;5913;
844;461;2;5920;
1392;138;2;5929;
1086;110;6;5931;
364;514;4;5943;
450;246;4;5945;Chybí obsah
210;104;6;5965;
1332;19;2;5988;
919;278;4;5990;
1449;413;2;5998;
840;474;2;6005;
507;2;1;6008;
764;197;3;6015;
1248;313;3;6019;
1245;36;6;6029;
1301;48;2;6030;
1272;494;6;6034;
1035;327;1;6044;
883;386;1;6062;
1484;477;1;6063;
792;463;2;6074;
1347;463;2;6081;
280;481;3;6082;
867;27;2;6083;
1308;469;2;6105;K dispozici jen prezenčně
781;71;1;6109;
354;486;3;6110;
789;324;1;6111;
149;272;6;6112;
1313;383;2;6124;
258;33;6;6133;
984;24;2;6135;
1025;243;3;6140;
1216;16;6;6149;
190;166;3;6159;
588;234;6;6171;
1529;489;5;6181;
1315;371;2;6182;
166;526;4;6190;
117;573;2;6197;
332;536;4;6198;
558;565;1;6203;
227;463;4;6205;
460;515;1;6208;
766;545;3;6211;
42;27;2;6224;
915;470;2;6228;
1242;399;2;6237;
989;476;2;6257;
308;513;2;6270;
384;293;2;6290;
308;100;2;6303;
880;317;3;6306;
1421;394;4;6311;
133;292;1;6317;
1367;144;6;6325;
432;391;2;6326;
129;385;6;6332;
1317;378;5;6337;
687;354;6;6347;
305;471;2;6355;
1093;272;1;6358;
135;526;4;6359;
348;136;1;6362;Zamluvená
405;364;3;6367;
1086;234;6;6373;
796;148;6;6382;
303;479;4;6384;
874;377;2;6398;
782;28;2;6436;
533;154;3;6441;
129;470;2;6460;Zamluvená
508;415;6;6466;
786;118;4;6500;
307;452;1;6511;
254;469;2;6515;
1512;48;2;6528;
380;277;3;6538;
208;317;3;6561;
1529;107;2;6568;
978;504;1;6572;
681;391;2;6574;
931;300;2;6587;
1419;383;2;6618;
590;411;3;6619;
1394;287;4;6653;
1093;142;1;6663;
1359;2;1;6664;
1082;415;6;6665;
1087;118;4;6674;
207;125;6;6675;
1177;369;2;6698;
343;536;4;6707;
71;549;6;6710;
554;6;2;6716;
60;209;5;6720;
646;195;2;6723;
1507;71;1;6733;
768;116;3;6747;
1006;281;5;6757;
989;143;4;6758;
1317;177;3;6780;
1440;392;6;6804;
1325;219;6;6812;
654;182;4;6816;
586;24;2;6817;
1146;536;4;6827;
6;519;1;6828;
201;335;4;6831;
517;217;1;6836;
819;561;2;6841;
1431;289;1;6846;
913;226;3;6860;
1260;553;1;6861;
1066;413;2;6862;
1248;447;3;6865;Fotokopie originálu
1527;505;2;6869;
351;69;6;6871;
1106;517;3;6881;
1268;170;5;6929;
866;439;4;6933;
1021;217;1;6945;
184;520;4;6966;Poškozená vazba
1051;143;4;6972;Chybí obsah
799;434;1;6976;
648;243;1;6991;
1521;278;4;6994;
1064;93;1;6997;
1187;410;1;7005;
554;276;3;7014;
32;324;1;7017;
60;270;4;7021;
1367;16;6;7027;
535;278;4;7045;
796;531;2;7053;
1236;520;4;7059;
1053;229;2;7062;
190;439;4;7063;
406;526;4;7078;
1252;246;2;7079;
1276;339;2;7082;
1285;300;2;7085;
1020;278;4;7103;
810;411;3;7105;
345;6;2;7108;
400;9;3;7109;
1489;495;5;7118;
423;421;2;7126;
1030;1;6;7128;
1305;354;6;7131;
438;134;2;7150;
441;107;2;7159;
1403;460;4;7160;
1486;300;2;7171;
1381;230;2;7175;
614;352;6;7190;
1020;447;3;7202;
1408;402;1;7216;
638;47;2;7226;
1066;29;3;7236;
1265;387;1;7242;
1448;98;1;7249;
230;227;6;7254;
9;144;6;7262;
702;489;5;7263;
729;287;4;7264;
1447;289;1;7266;
554;259;2;7272;
251;136;2;7274;Poškozená vazba
200;542;4;7278;
143;395;6;7316;
520;129;3;7326;
795;452;1;7329;
1383;403;6;7343;
949;371;2;7357;
957;259;6;7359;
1161;72;2;7361;Fotokopie originálu
258;356;2;7363;
71;517;2;7371;
1463;143;4;7380;
244;477;1;7384;
786;551;1;7385;
1519;501;1;7387;
681;371;2;7395;
413;531;3;7443;
785;182;4;7450;
160;78;1;7451;
1151;399;2;7466;
364;94;2;7485;
638;96;2;7491;
636;471;6;7508;
136;439;4;7516;
221;44;6;7535;
1372;391;2;7538;
652;157;1;7569;
910;410;1;7573;
881;476;2;7576;Vzácná, s věnováním, není určena již určena k půjčování
175;248;2;7585;
940;210;6;7588;
636;337;1;7609;
1232;317;3;7620;
1314;29;1;7621;
683;195;2;7628;
1370;159;6;7630;
1000;107;2;7631;K dispozici jen prezenčně
918;287;4;7638;
1483;542;4;7647;
941;207;2;7649;
197;32;3;7655;
1087;243;1;7660;
1311;14;2;7707;
499;116;3;7708;
531;184;1;7711;
812;91;2;7722;
440;411;3;7725;
874;9;3;7730;
1232;247;6;7732;
664;39;3;7733;
1357;460;4;7739;
1093;386;1;7742;
488;118;4;7752;
1035;278;4;7753;
112;323;6;7754;
186;541;3;7756;Salátové vydání
1066;324;1;7758;
394;210;6;7762;
1370;514;4;7794;Poškozená vazba
1268;1;6;7805;
851;317;3;7806;
1298;246;4;7809;
211;118;4;7820;
1394;117;3;7824;
919;540;1;7826;
343;78;1;7831;
615;253;1;7841;
368;383;2;7858;
1096;335;4;7868;
176;383;2;7879;
186;450;1;7884;
780;165;3;7888;
533;377;2;7890;
1498;275;2;7903;
688;117;3;7911;
263;259;2;7912;
72;397;1;7922;
360;559;1;7935;
1400;219;6;7937;Fotokopie originálu
155;226;3;7938;Vzácná, s věnováním, není určena již určena k půjčování
426;477;1;7945;
278;182;4;7954;
1529;246;4;7957;
1383;481;3;7964;
1028;19;2;7966;
1539;303;1;7969;
459;369;6;7970;
270;277;3;7976;
1305;530;1;7979;
782;542;4;7986;
532;494;6;7991;
129;138;4;8001;
836;472;4;8021;
1334;71;1;8024;
1017;481;3;8027;
821;300;2;8031;Poškozená vazba
1112;278;4;8046;
586;332;3;8068;
1048;447;3;8071;
1480;470;6;8084;
343;437;2;8087;
244;335;4;8090;
731;166;3;8092;
1511;283;2;8094;Určené k vyřazení
754;146;6;8122;
467;536;4;8127;
1101;566;1;8132;
1357;461;2;8139;
821;312;4;8142;
32;169;1;8144;
1496;134;2;8151;
903;300;2;8157;
246;444;3;8160;
887;335;4;8166;
883;268;3;8170;
780;557;3;8198;
242;474;2;8205;
851;312;4;8209;
1330;332;3;8226;
1245;371;2;8231;
558;439;4;8236;
723;352;6;8241;
559;195;2;8256;Vzácná, s věnováním, není určena již určena k půjčování
1304;259;2;8263;
1082;113;2;8273;
671;557;3;8288;
834;277;6;8294;
1460;230;2;8295;
993;413;2;8299;
139;394;2;8315;
1105;248;2;8318;
1183;561;2;8319;
1036;189;1;8321;
379;413;2;8326;
636;248;2;8330;
741;117;3;8333;
810;152;5;8340;
1375;201;2;8342;
586;553;1;8344;Chybí některé strany
786;96;2;8355;
1051;479;4;8368;
206;477;1;8369;
590;374;1;8371;
29;421;2;8378;
530;234;6;8394;
1170;313;3;8400;
1241;134;2;8401;
990;265;2;8408;
1421;479;4;8409;
1325;332;4;8417;
1400;72;4;8430;
1183;96;2;8451;
1486;231;6;8472;
1459;557;3;8473;
882;494;6;8485;
723;515;1;8488;
619;470;2;8497;
1462;526;4;8502;
58;113;2;8527;
994;115;2;8528;
304;125;5;8535;Určené k vyřazení
931;268;3;8539;
440;472;4;8549;
1465;81;4;8559;
452;189;1;8580;
1508;39;6;8582;
883;484;4;8586;
268;66;3;8593;
543;197;3;8601;
512;545;3;8608;
486;317;3;8616;
1421;217;1;8621;
1047;408;6;8634;
739;144;6;8640;
272;229;2;8641;
522;335;4;8642;
632;439;4;8651;
84;82;1;8659;
1313;317;3;8662;
1344;229;2;8665;
443;246;4;8667;
483;74;2;8673;
426;118;4;8675;
904;82;1;8682;
671;431;2;8689;
533;14;2;8711;
805;36;6;8712;
1272;29;1;8713;
45;115;2;8716;
980;21;1;8724;
277;29;1;8729;
543;536;4;8742;
493;439;4;8745;
895;201;2;8764;
957;248;2;8768;
1496;572;1;8769;
530;556;1;8772;
632;183;2;8777;
978;81;4;8779;
168;81;4;8781;
684;556;1;8782;Poškozená vazba
434;521;2;8785;
380;287;4;8801;
618;145;2;8805;
641;501;1;8813;
684;282;2;8822;
1419;248;2;8831;
276;501;1;8832;
499;474;2;8837;
958;170;5;8861;
777;377;2;8882;
882;396;1;8894;
1421;50;3;8904;
1053;335;4;8911;
773;387;1;8912;
623;107;4;8914;
569;259;2;8924;Určené k vyřazení
1314;1;3;8933;
400;24;2;8935;
862;471;6;8940;
1051;245;2;8959;
174;293;2;8964;
1449;210;6;8972;Vzácná, s věnováním, není určena již určena k půjčování
242;14;2;8981;
697;521;1;8996;
739;116;3;9001;
663;330;1;9009;
632;292;1;9015;
452;387;1;9024;
1474;270;4;9042;
208;144;6;9051;
1030;400;3;9060;
435;395;6;9072;
1378;336;4;9075;
1481;306;1;9081;
190;311;5;9087;
136;463;2;9090;
641;520;4;9129;
965;245;2;9139;
184;436;1;9152;
145;446;4;9162;
715;413;2;9176;
1265;189;1;9179;
1423;287;4;9183;
828;270;4;9194;
795;183;2;9195;
590;245;2;9201;
520;536;4;9210;
155;169;1;9231;
468;312;4;9235;
112;536;6;9251;
171;399;5;9252;
1035;88;1;9278;
1497;270;4;9283;
406;281;5;9285;
1510;264;6;9291;
147;283;2;9299;
1519;183;2;9302;
232;48;2;9305;
507;400;6;9314;
321;278;4;9330;
1128;46;1;9335;
785;472;4;9345;
1112;413;2;9368;
1086;446;4;9382;Fotokopie originálu
1483;118;4;9383;
921;460;4;9398;
1481;129;3;9401;
636;146;6;9403;
506;146;6;9412;Vzácná, s věnováním, není určena již určena k půjčování
302;488;2;9430;
512;283;2;9431;
166;565;1;9436;
276;239;1;9453;
1115;284;5;9454;
124;324;1;9455;
686;277;3;9478;
666;531;2;9479;
1510;2;1;9480;
1435;354;6;9483;
623;356;2;9484;
22;541;3;9491;
782;460;4;9493;Určené k vyřazení
107;231;6;9494;
670;517;6;9501;
443;481;3;9505;
533;364;3;9507;
363;110;6;9514;
886;29;1;9517;
239;283;2;9537;
15;479;4;9556;
1252;383;2;9582;
1248;395;6;9593;
809;561;2;9596;
507;549;6;9602;
1041;336;4;9608;
357;14;2;9618;
459;307;3;9620;
1197;484;4;9621;
587;43;3;9631;
493;472;4;9633;
186;74;2;9643;
588;469;2;9662;
773;209;5;9665;
851;204;3;9672;
47;217;1;9681;
1510;356;1;9683;
978;391;2;9684;
435;575;2;9687;
160;24;2;9689;
561;352;6;9694;
1100;264;6;9701;
854;479;4;9702;
211;210;6;9734;
42;177;3;9750;
468;469;2;9755;
807;520;4;9780;
778;253;1;9805;
580;488;2;9814;Vzácná, s věnováním, není určena již určena k půjčování
438;24;2;9818;
532;470;4;9821;
910;191;3;9822;
1017;306;1;9823;
931;189;1;9824;
358;248;2;9838;Chybí některé strany
1138;230;2;9853;
969;463;2;9858;
297;46;1;9869;
1295;551;1;9874;
88;202;1;9876;
951;278;4;9880;
1448;469;2;9881;
624;470;2;9892;
1146;430;1;9895;
1157;495;5;9896;
184;421;6;9898;
244;5;1;9901;
155;246;4;9914;
135;156;5;9920;
175;444;3;9942;
1013;484;4;9943;
587;572;1;9944;
348;392;6;9976;
1324;275;2;9980;
1078;182;4;9981;
906;270;4;9994;
1282;229;2;10014;
224;213;5;10015;
773;245;2;10027;
90;324;1;10033;
926;287;2;10040;
1101;191;3;10045;
678;520;4;10052;
104;131;3;10064;
434;510;3;10067;Vzácná, s věnováním, není určena již určena k půjčování
380;280;2;10068;
1045;391;2;10071;
1206;401;3;10086;
1155;280;2;10091;
1026;444;3;10100;
753;100;2;10103;
506;542;4;10118;
1511;440;4;10126;
1424;16;6;10133;
406;1;6;10135;
1378;399;2;10137;
666;460;4;10155;
663;119;1;10163;
586;426;6;10165;
1390;213;2;10173;Určené k vyřazení
1082;160;2;10174;
965;510;3;10180;
988;303;1;10199;
684;82;3;10204;
475;484;4;10209;Fotokopie originálu
