id_knihy;isbn;nazev;pocet_stran;rok_vydani;misto_vydani;nakladatel;vydani;druhy_id;jazyky_id;autor;edice
49;80-200-1062-9;Dobývání znalostí z databází;366;2003;Praha;Academia;1;1;1;Berka, Petr;
50;80-7079-676-6;Tvorba znalostních systémů;190;1994;Praha;VŠE;1;1;1;Berka, Petr;
51;80-7079-639-1;Vybrané znalostní systémy SAK, SAZE, KEX;240;1994;Praha;VŠE;;1;1;Berka, Petr;
56;80-86686-48-5;Šifrování a biometrika: aneb tajemné bity adotyky;168;2005;Brno;Computer Media;1;1;1;Bitto, Ondřej;
58;978-80-7238-637-6;Fraus praktický ekonomický slovník : anglicko-český, česko-anglický;432;2007;Plzeň;Fraus;1;1;1;Blaheta, Radek;
60;80-247-1095-1;Jak využít internet v marketingu : krok za krokem k vyšší konkurenceschopnosti;156;2005;Praha;Grada;1;1;1;Blažková, Martina;Manažer
69;0-8053-5340-2;Object-Oriented Analysis and Design with Applications;10;1998;Reading, MA;Addison-Wesley;2;1;2;Booch, Grady;
70;0-201-57168-4;The Unified Modeling Language User Guide;22;1998;Reading, MA;Addison-Wesley;;1;2;Booch, Grady -- Rumbaugh, James;
71;80-85297-63-9;Průvodce Word 6 pro Windows : Tvorba dokonalého dokumentu v Microsoft Word 6 CZ pro Windows;16;1994;Praha;PLUS;;1;1;Borland, Russell;
72;80-85424-58-4;BIOS IBM PC : Příručka programátora;243;1992;Praha;Grada;;1;1;Boukal, Vítězslav;Nestůjte za dveřmi
74;80-7169-949-7;XML : kompletní průvodce;537;2000;Praha;Grada;1;1;1;Bradley, Neil;
78;0-201-40375-7;Prolog Programming for Artificial Intelligence;21;2001;Harlow;Addison-Wesley;3;1;1;Bratko, Ivan;
79;80-7169-684-6;Delphi 4 : Kompletní kapesní průvodce;598;1999;Praha;Grada;1;1;1;Bráza, Jiří;
83;0-7645-4590-6;Lotus Notes and Domino 5 Bible;48;1999;Chicago;IDG Books;;1;2;Brown, Kyle -- Brown, Kenyon;
84;80-7226-352-8;Microsoft Excel 2000 pro manažery a ekonomy;395;2003;Brno;Computer Press;2;1;1;Brož, Milan;
85;80-85896-26-5;Microsoft Excel 5.0 CZ : Základní příručka uživatele;218;1995;Praha;Computer Press;3;1;1;Brož, Milan;
88;80-7226-074-X;Microsoft Excel 97 CZ pro manažery a ekonomy;344;1998;Praha;Computer Press;1;1;1;Brož, Milan;
89;80-251-0230-0;Microsoft Office Excel 2003: podrobná uživatelská příručka;384;2004;Brno;Computer Press;1;1;1;Brož, Milan;
90;978-80-251-1822-1;Microsoft Office Excel 2007 : podrobná uživatelská příručka;407;2007;Brno;Computer Press;1;1;1;Brož, Milan;
91;80-251-0140-1;Microsoft Office Word 2003 : podrobná uživatelská příručka;392;2004;Brno;Computer Press;1;1;1;Brož, Milan;
92;80-7226-270-X;Mistrovství v Microsoft Excel 2000 : kniha pro pokročilé uživatele Excelu a ty, kdo se jimi chtějí stát;727;2000;Praha;Computer Press;1;1;1;Brož, Milan;Kancelář profi
94;80-251-0164-9;Tvorba WWW stránek pro úplné začátečníky;149;2004;Brno;Computer Press;5;1;1;Broža, Petr;
99;0-471-36089-9;Virtual reality technology;444;2003;Hoboken, N.J.;Wiley-Interscience;2;1;2;Burdea, Grigore -- Coiffet, Philippe;
100;80-86324-46-X;Nová generace webových technologií : informace v 21. století;264;2005;Praha;VOX;1;1;1;Bureš, Miroslav -- Morávek, Adam;Webové technologie
104;0-256-13254-2;Environmental Economics and Management : Theory, Policy, and Applications;12;1996;Chicago;Irwin;;1;2;Callan, Scott J. -- Thomas, Jant M.;
106;80-85896-42-7;Mistrovství v Delphi - 1. díl;21;1995;Praha;Computer Press;1;1;1;Cantú, Marco;
107;80-85896-42-7;Mistrovství v Delphi - 2. díl;5;1995;Praha;Computer Press;1;1;1;Cantú, Marco;
110;1-55860-808-7;HCI models, theories, and frameworks : toward a multidisciplinary science;551;2003;Amsterdam;Morgan Kaufmann Publishers;;1;2;Carroll, John M;
111;1-58720-100-3;LAN switching first-step;384;2005;Indianapolis, IN;Cisco Press;;1;2;Castelli, Matthew;
112;978-80-251-1531-2;HTML, XHTML a CSS : názorný průvodce tvorbou WWW stránek;438;2007;Brno;Computer Press;1;1;1;Castro, Elizabeth;
113;978-0-07-328043-1;Study guide : for use with money, banking, and financial markets;488;2008;Boston, MA;Mc Graw-Hill Book Company;2;1;2;Cecchetti, Stephen G;
117;1-85032-259-7;Information Systems - Strategy to Design;9;1995;London;International Thomson Computer Press;1;1;2;Clare, Chris -- Stuteley, Gordon;
120;80-251-1059-1;Adobe InDesign CS2 : názorný průvodce;576;2006;Brno;Computer Press;1;1;1;Cohen, Sandee;
123;0-948549-88-2;Dictionary of Information Technology;383;1997;Teddington;Peter Collin Publishing;2;1;2;Collin, S. M. H.;
124;0-8144-0593-2;Corporate portals : revolutionizing information access to increase productivity and drive the bottom line;394;2001;New York, N.Y.;Amacom;;1;2;Collins, Heidi;
126;0-534-17143-5;The New Software Engineering;13;1994;Belmont;Wadsworth Publishing Company;;1;2;Conger, Sue A.;
129;80-7169-641-2;Marketingové plánování : praktická příručka manažera;230;1999;Praha;Grada;1;1;1;Cooper, John -- Lane, Peter;
133;978-80-251-1705-7;Mistrovství v CSS : pokročilé techniky pro webové designéry a vývojáře;409;2007;Brno;Computer Press;1;1;1;Croft, Jeff -- Lloyd, R. Ian;
135;80-85896-41-9;Microsoft Works 4.0 : Základní průvodce uživatele;8;1995;Praha;Computer Press;1;1;1;Čáp, Jan;
136;80-7226-231-6;Komprimace dat : Principy a praxe;8;2000;Praha;Computer Press;1;1;1;Čapek, Jan -- Fabian, Peter;Internet
138;80-85828-27-8;Norton Commander 5.0;127;1995;České Budějovice;Kopp;1;1;1;Černý, Vladislav -- Kvoch, Martin;
139;80-7232-015-7;Slovník počítačových zkratek;173;1998;České Budějovice;Kopp;2;1;1;Černý, Vladislav;
142;0-471-43257-1;The Semantic Web: a guide to the futureof XML, Web services, and knowledge management;281;2003;Indianapolis, IN;Wiley Publishing;;1;2;Daconta, Michael C. -- Obrst, Leo Joseph;
143;0-7506-7864-X;Knowledge management in theory and practise;356;2005;Boston, MA;Elsevier;;1;2;Dalkir, Kimiz;
144;80-86815-47-1;AJAX a PHP : tvoříme interaktivní webové aplikace profesionálně;320;2006;Brno;Zoner Press;1;1;1;Darie, Cristian a kol.;Encyklopedie webdesignera
145;3-540-26301-2;Applications and theory of Petri nets 2005. 26th international conference, ICATPN 2005, Miami, USA, June 20-25, 2005: proceedings;474;2005;Berlin;Springer Verlag;;1;2;Darondeau, Philippe;Lecture notes in computer science
146;80-247-1147-8;Myslíme v jazyku PERL;700;2005;Praha;Grada;1;1;1;Dařena, František;Knihovna programátora
147;0-201-38590-2;An Introduction to Database Systems;22;2000;Reading, MA;Addison-Wesley;7;1;2;Date, C.J.;
149;0-534-18954-7;Business Systems Analysis and Design;18;1994;London;International Thomson Computer Press;;1;2;Davis, William S.;
150;80-7226-389-7;GIS : jak si vytvářet vlastní mapy;112;2000;Praha;Computer Press;1;1;1;Davis, David E.;CAD&GIS
155;80-86497-64-X;Macromedia Flash MX 2004 : oficiální výukový kurz;544;2004;Praha;Soft Press;1;1;1;Dehaan, Jen;
156;0-13-032364-0;e-Business and e-Commerce for Managers;37;2000;Upper Saddle River, N.J.;Prentice Hall Inc.;;1;2;Deitel, H.M. -- Deitel, P.J.;
157;1-58705-285-7;Network securit fundamentals;;2006;Indianapolis, IN;;;2;2;DeLaet, Gert -- Schauwers, Gert;
159;80-200-0990-6;Grafy a jejich aplikace;257;2002;Praha;Academia;1;1;1;Demel, Jiří;
160;1-56592-699-4;Programming the Perl DBI;16;2000;Beijing;O\'Reilly Media, Inc.;1;1;2;Descartes, Alligator -- Bunce, Tim;
162;80-7169-479-7;Ochrana dat v informačních systémech;286;1998;Praha;Grada;1;1;1;Dobda, Luboš;
166;80-251-0828-7;Velký průvodce infrastrukturou PKI a technologií elektronického podpisu;534;2006;Brno;Computer Press;1;1;1;Dostálek, Libor -- Vohnoutová, Marta;
167;80-7226-675-6;Velký průvodce protokoly TCP/IP a systémem DNS;542;2002;Brno;Computer Press;3;1;1;Dostálek, Libor -- Kabelová, Alena;Komunikace & sítě
168;80-7226-849-X;Velký průvodce protokoly TCP/IP. Bezpečnost;571;2003;Praha;Computer Press;2;1;1;Dostálek, Libor a kol.;
169;80-86419-71-1;Řízení projektu informačních systémů;162;2004;Praha;Professional Publishing;1;1;1;Doucek, Petr;
171;80-7226-521-0;Logistika : procesy a jejich řízení;334;2003;Brno;Computer Press;1;1;1;Drahotský, Ivo -- Řezníček, Bohumil;Praxe manažera
172;80-7079-740-1;Objektově orientované metodiky a technologie : 1. díl, části modely a analýza;193;1997;Praha;VŠE;1;1;1;Drbal, Pavel;
174;0-13-099715-3;Using SET for Secure Electronic Commerce;20;1998;Upper Saddle River, N.J.;Prentice Hall Inc.;;1;2;Drew, Grady N.;
175;80-251-0130-4;DHCP. Příručka administrátora: [kompletní návod pro konfiguraci a správu DHCP služeb, klientů a serveru];490;2004;Brno;Computer Press;1;1;1;Droms, Ralph -- Lemon, Ted;
176;80-85603-02-0;Efektivní vedoucí;133;1992;Praha;Management Press;2;1;1;Drucker, Peter F.;
179;0-19-453333-6;New Success at First Certificate : Workbook;96;1997;Oxford;Oxford University Press;;1;2;Duckworth, Michael -- Gude, Kathy;
180;80-251-0508-3;Návrh a tvorba webů : vytváříme zákaznicky orientovaný web;672;2005;Brno;CP Books;1;1;1;Duyne, Dougla K. -- Landay, James A.;
182;978-80-251-1881-8;DTP a předtisková příprava : kompletní průvodce od grafického návrhu po profesionální tisk;288;2008;Brno;Computer Press;1;1;1;Dvořáková, Zdenka;
184;80-251-0547-4;Profesionální webdesign : techniky a vzorová řešení;421;2005;Brno;CP Books;1;1;1;Eccher, Clint;
185;80-247-9009-2;Myslíme v jazyku C++ : knihovna programátora;554;2000;Praha;Grada;1;1;1;Eckel, Bruce;Myslíme v
186;80-247-9009-2;Myslíme v jazyku C++ : knihovna zkušeného programátora;608;2006;Praha;Grada;1;1;1;Eckel, Bruce -- Allison, Chuck;Myslíme v
187;0-596-00133-9;XML - Pocket Reference;6;2001;Beijing;O\'Reilly Media, Inc.;2;1;2;Eckstein, Robert -- Casabianca, Michel;
189;978-80-86815-23-7;Photoshop : retušování a restaurování fotografie;464;2008;Brno;Zoner Press;2;1;1;Eismann, Katrin -- Palmer, Wayne;Encyklopedie - grafika a digitální fotografie
190;80-7204-418-4;Vizuální komunikace - písmo;59;2005;Brno;Akademické nakladatelství CERM;1;1;1;Eliška, Jiří;
192;80-86817-05-9;Anglicko-český ekonomický výkladový slovník;629;2004;Praha;Sobotáles;1;1;1;Elman, Jiří;
195;0-471-19161-2;UML Toolkit;17;1998;New York, N.Y.;John Wiley & Sons;;1;2;Eriksson, Hans-erik -- Penker, Magnus;
197;0-13-185858-0;Service-oriented architecture : concepts, technology, and design;760;2005;Upper Saddle River, N.J.;Prentice Hall Inc.;;1;2;Erl, Thomas;
200;1-56830-095-6;Net. Speak - The Internet Dictionary;203;1994;Indianapolis, IN;Hayden Books;;1;2;Fahey, Tom;
201;80-85896-19-2;Internet Roadmap - Průvodce světem Internetu;310;1995;Praha;Computer Press;2;1;1;Falk, Bennett;
202;978-0-470-03030-1;Agent technology for e-commerce;453;2007;Chichester;John Wiley & Sons;;1;2;Fasli, Maria;
204;80-7226-725-6;Mistrovství v Microsoft Access 2002 : Access 2002 do nejmenších podrobností a do posledního detailu;604;2002;Praha;Computer Press;1;1;1;Feddema, Helen Bell;Databáze
206;0321127307;The complete manual of typography : a guide to setting perfect type;360;2003;Berkeley, CA;Peachpit Press;;1;2;Felici, James;
207;0-13-084846-8;Exploring E-commerce, Global E-business, and E-societies;18;2000;Upper Saddle River, N.J.;Prentice Hall Inc.;;1;2;Fellenstein, Craig -- Wood, Ron;
208;1-56592-238-7;Advanced Oracle PL/SQL : Programming with Package;26;1996;Cambridge, MA;O\'Reilly Media, Inc.;1;1;2;Feuerstein, Steven;
209;1-56592-375-8;Oracle Built-in Packages;22;1998;Beijing;O\'Reilly Media, Inc.;1;1;2;Feuerstein, Steven -- Dye, Charles;
210;0-596-00977-1;Oracle PL/SQL Programming;1171;2005;Beijing;O\'Reilly Media, Inc.;4;1;2;Feuerstein, Steven;
211;1-56592-335-9;Oracle PL/SQL Programming;33;1997;Beijing;O\'Reilly Media, Inc.;2;1;2;Feuerstein, Steven;
213;80-86419-19-3;Modelování a analýza produkčních systémů;259;2002;Praha;Professional Publishing;1;1;1;Fiala, Petr;
214;80-86419-62-2;Modelování dodavatelských řetězců;168;2005;Praha;Professional Publishing;1;1;1;Fiala, Petr;
218;80-7226-626-8;JavaScript : kompletní průvodce;825;2002;Praha;Computer Press;2;1;1;Flanagan, David;
221;0-20-184840-6;Computer graphics : principles and practice;1175;1995;Reading, MA;Addison-Wesley;2;1;2;Foley, James D a kol.;Addison-Wesley systems programming series
223;0-7600-4950-5;Computer Security Management;10;1994;London;International Thomson Computer Press;;1;2;Forcht, Karen A.;
224;0-521-53361-9;Logic, induction and sets;234;2003;Cambridge, MA;Cambridge University Press;;1;2;Forster, T. E.;London Mathematical Society student texts
225;80-7226-663-2;Jak získat a udržet zákazníka;117;2002;Praha;Computer Press;1;1;1;Foster, Timothy R. V.;Praxe managera
226;80-7226-677-2;Macromedia Flash MX : podrobná příručka;355;2002;Praha;Computer Press;1;1;1;Fotr, Jiří;
227;80-247-0299-1;Refaktoring : zlepšení existujícího kódu;394;2003;Praha;Grada;1;1;1;Fowler, Martin a kol.;Moderní programování
228;978-80-251-1485-8;Jak zvládnout testy ECDL;155;2007;Brno;Computer Press;1;1;1;Franců, Marie;
230;80-7226-831-7;Macromedia Flash MX : kompletní průvodce;846;2003;Brno;Computer Press;1;1;1;Franklin, Derek;DTP & grafika
232;80-86497-43-7;Macromedia Flash MX Actionscript : oficiální výukový kurz pro pokročilé;670;2003;Praha;Soft Press;;1;1;Franklin, Derek -- Makar, Jobe;
233;80-86815-24-2;RAW s programem Adobe Photoshop CS;248;2005;Brno;ZONER Press;1;1;1;Fraser, Bruce;Encyklopedie - grafika a digitální fotografie
235;;Správa barev : průvodce profesionála v grafice a pre-pressu;521;2003;Brno;Computer Press;1;1;1;Fraser, Bruce -- Murphy, Chris;
239;80-85927-54-3;Velký česko-anglický slovník : Comprehensive Czech-English dictionary;1597;2000;Voznice;LEDA;1;1;1;Fronek, Josef;
242;80-7226-054-5;PGP: Pretty Good Privacy - šifrování pro každého;31;1998;Praha;Computer Press;1;1;1;Garfinkel, Simson;
243;;Strategické simulace : Hry na PC pro náročné;98;1995;Praha;Vogel Publishing;1;1;1;Gebauer, Reiner;
244;80-7300-138-1;VRML v příkladech;223;2004;Praha;BEN - technická literatura;1;1;1;Gergelitsová, Šárka;
246;0-19-457470-9;Basic English for computing;136;2003;Oxford;Oxford University Press;;1;2;Glendinning, Eric H -- McEwan, John;
251;0-201-85469-4;The LaTeX graphics companion: illustrating documents with TEX andPostScript;554;1997;Boston, MA;Addison-Wesley;;1;2;Goossens, Michel -- Rahtz, Sebastian;Addison-Wesley series on tools and techniques for computer typesetting
254;0-8493-7839-7;System Engineering Deployment;456;2000;Boca Raton;CRC Press;;1;2;Grady, Jeffrey O.;
258;978-80-86815-85-5;SEO : Search Engine Optimization : ovládněte SEO a získejte výhodu před konkurencí : optimalizujte své webové stránky pro vyhledávací servery : přiveďte na své stránky zákazníky dříve, než to udělá konkurence;328;2007;Brno;Zoner Press;1;1;1;Grappone, Jennifer -- Couzin, Gradiva;Encyklopedie webdesignera
259;80-902824-1-5;Profesionální design na webu;223;2000;Brno;Soft Press;;1;1;Gray, Daniel;
260;0-748-40954-8;Online GIS and spatial metadata;222;2002;London;Taylor & Francis;;1;2;Green, David -- Bossomaier, Terry Richard John;
261;1-879102-87-0;Open Access : GIS in e-Government;110;2001;Redlands, CA;ESRI Press;1;1;2;Greene, R.W.;
263;1-56592-708-7;Oracle Essentials : Oracle8 and Oracle 8i;16;1999;Beijing;O\'Reilly Media, Inc.;1;1;2;Greenwald, Rick -- Stackowiak, Robert;
267;0-13-756412-0;Data Mining : A Hands-On Approach for Business Professionals;29;1997;Upper Saddle River, N.J.;Prentice Hall Inc.;;1;2;Groth, Robert;
268;80-86497-62-3;Mistrovství v SQL;2;2004;Praha;Soft Press;;1;1;Gruber, Martin;
269;1-56592-419-3;CGI Programming with Perl;15;2000;Beijing;O\'Reilly Media, Inc.;2;1;2;Guelich, Scott -- Gundavaram, Shishir;
270;80-7226-985-2;Velká kniha MIDI : standardy, hardware, software;340;2004;Brno;Computer Press;1;1;1;Guérin, Robert;
271;80-7226088-X;CGI programování webových stránek a aplikací;20;1998;Praha;Computer Press;1;1;1;Gundavaram, Shishir;
272;1-56592-237-9;Oracle Performance Tuning;22;1996;Beijing;O\'Reilly Media, Inc.;2;1;2;Gurry, Mark -- Corrigan, Peter;
276;80-7226-445-1;Microsoft Visual Basic 6.0 Professional : Krok za krokem;22;1999;Praha;Computer Press;1;1;1;Halvorson, Michael;
277;1-55860-901-6;Data mining : concepts and techniques;770;2006;Amsterdam;Elsevier;2;1;2;Han, Jiawei -- Kamber, Micheline;The Morgan Kaufmann series in data management systems
278;978-0-596-10242-5;"Fonts & encodings : [from unicode to advanced typography and everything in between ; covers PostScript, TrueType, OpenType, AAT, Metafont, and more]";1016;2007;Beijing;O\'Reilly Media, Inc.;1;1;2;Haralambous, Yannis -- Horne, P. Scott;
280;80-901475-50;Referenční příručka jazyka C;334;1996;Veletiny;SCIENCE;1;1;1;Harbison, Samuel P. -- Steele, Guy L. Jr.;
284;0-12-326428-6;Object-Oriented Database Design : Clearly Explained;13;2000;San Diego, CA;Morgan Kaufmann Publishers;;1;2;Harrington, Jan L.;
289;0-672-30862-2;Database Developer\'s Guide with Delphi 2;29;1996;Indianapolis, IN;Sams Publishing;1;1;2;Henderson, Ken;
290;80-247-0899-X;Myslíme v jazyku SQL - tvorba dotazů;378;2004;Praha;Grada;1;1;1;Hernandez, Michael J. -- Viescas, John L.;Myslíme v--
292;80-251-0309-9;awk & sed : příručka pro dávkové zpracování textu;254;2004;Brno;Computer Press;1;1;1;Herold, Helmut;
296;80-7226-272-6;Adobe Photoshop 5.0/5.5 : Referenční příručka;15;2000;Praha;Computer Press;1;1;1;Hlavenka, Jiří -- Hercik, Jaroslav;
297;80-7226-371-4;Dělejte byznys na Internetu : Jak využít Internet k prospěchu firmy i jednotlivce;226;2001;Praha;Computer Press;1;1;1;Hlavenka, Jiří;
298;80-7226-182-7;Dělejte byznys na Internetu: Jak využít Internet k prospěchu firmy ijednotlivce;205;1999;Praha;Computer Press;1;1;1;Hlavenka, Jiří;
301;80-85896-73-7;Používáme Internet s programem Microsoft Internet Explorer 3.0 US/CZ;11;1996;Praha;Computer Press;1;1;1;Hlavenka, Jiří;
302;80-85896-09-5;QuarkXPress: Podrobná uživatelská příručka : verze 3.1x a 3.3 ZS/CZ pro Windows;6;1996;Praha;Computer Press;1;1;1;Hlavenka, Jiří;
303;80-7226-023-5;Výkladový slovník výpočetní techniky a komunikací;452;1997;Praha;Computer Press;3;1;1;Hlavenka, Jiří;
304;80-85896-86-9;Windows NT 4.0 Workstation - Uživatelská příručka;7;1996;Praha;Computer Press;1;1;1;Hlavenka, Jiří;
305;80-85896-53-2;Windows 95 - Podrobná referenční příručka;310;1996;Praha;Computer Press;2;1;1;Hlavenka, Jiří;
307;80-85896-44-3;Anglicko-česká terminologie bezpečnosti informačních technologií;95;1996;Praha;Computer Press;1;1;1;Hoenigová, Alena -- Matyáš, Václav - ml.;
308;80-85986-01-9;Počítačová grafika a animace;86;1995;Praha;Vogel Publishing;1;1;1;Hofman, David;
313;978-80-251-1850-4;Mistrovství v AJAXu;591;2007;Brno;Computer Press;1;1;1;Holzner, Steven;
316;0-321-45536-3;Introduction to automata theory, languages, and computation;535;2007;Boston, MA;Pearson/Addison Wesley;3;1;2;Hopcroft, John E. -- Motwani, Rajeev;
319;80-247-0447-1;Strategický marketing;200;2003;Praha;Grada;2;1;1;Horáková, Helena;
321;80-7169-340-5;Od DTP k PRE-PRESSU : Průvodce světem tvorby dokumentů;311;1997;Praha;Grada;1;1;1;Horný, Stanislav;
323;80-86330-12-5;Java 5;1443;2005;Praha;Neocortex;;1;1;Horton, Ivor;
327;1-58705-304-7;Cisco field manual : catalyst switch configuration;;2006;Indianapolis, IN;;;2;2;Hucaby, Dave -- McQuerry, Steve;
329;80-7226-560-1;Data warehousing : návrh a implementace;257;2001;Praha;Computer Press;1;1;2;Humphries, Mark;Profi
331;80-86497-59-3;Linux : síťové servery;672;2003;Praha;Soft Press;;1;1;Hunt, Craig;
332;1-56592-123-2;Networking Personal Computers with TCP/IP : A Guide for Network Administrators;22;1995;Sebastopol, CA;O\'Reilly Media, Inc.;1;1;2;Hunt, Craig;
334;80-251-1180-6;Zranitelný kód;207;2006;Brno;Computer Press;1;1;1;Huseby, Sverre H.;
338;80-7226-051-0;Firewally -principy budování a udržování;10;1998;Praha;Computer Press;1;1;1;Chapman, Brent D. -- Zwicky, Elizabeth D.;Profi
342;80-85931-68-0;Didaktické testy : příručka pro učitele a studenty učitelství;91;1999;Brno;Paido;;1;1;Chráska, Miroslav;
343;978-80-247-1369-4;Metody pedagogického výzkumu : základy kvantitativního výzkumu;265;2007;Praha;Grada;1;1;1;Chráska, Miroslav;
345;80-7261-007-4;Logistika v marketingu;166;2000;Praha;Management Press;1;1;1;Christopher, Martin;
346;80-7226-519-9;Macromedia Flash 5 pro pokročilé;416;2001;Praha;Computer Press;1;1;1;Chun, Russell;Rychle a jistě
348;0-256-06671-X;Management : Principles and Functions;17;1989;Homewood;BPI IRWIN;4;1;2;Ivancevich, John M. -- Donnelly, James H.;
351;978-80-251-1744-6;Plastická chirurgie ve Photoshopu : elegantní úpravy obličeje, pleti i celé postavy na fotografiích;192;2007;Brno;Computer Press;1;1;1;Jackson, Barry;
354;0-201-57169-2;The Unified Software Development Process;29;1999;Reading, MA;Addison-Wesley;1;1;2;Jacobson, Ivar -- Booch, Grady;
355;0-201-87686-8;Introduction to Expert Systems;17;1999;Harlow;Addison-Wesley;3;1;2;Jakson, Peter;
357;80-7169-113-5;UNIX V - Základy operačního systému;242;1995;Praha;Grada;1;1;1;Jelen, Milan;
358;80-7169-282-4;Systémy automatické identifikace;124;1996;Praha;Grada;1;1;1;Ježek, Vladimír;
359;80-85623-82-X;Tvorba aplikací v objektovém prostředí;323;1994;Praha;Grada;;1;1;Jilková, Helena -- Ryant, Ivan;
360;80-251-0843-0;Kytara a počítač : využíváme efekty a hudební programy při hraní, aranžování a skládání;294;2005;Brno;Computer Press;1;1;1;Jirásek, Ondřej;
362;80-7335-084-X;Principy digitální komunikace;309;2006;Voznice;Leda;1;1;1;Jiroušek, Radim a kol.;
363;80-7209-863-2;Cestování : příručka pro digitální fotografy;110;2006;Praha;Slovart;;1;1;Joinson, Simon;
364;80-7209-652-4;Krajiny a scenerie : příručka pro digitální fotografy;112;2004;Praha;Slovart;1;1;1;Joinson, Simon;
368;80-7226-295-5;Jazyk C;12;2000;Praha;Computer Press;1;1;1;Kačmář, Dalibor;
370;80-251-0342-0;Agilní programování : metodiky efektivního vývoje softwaru;278;2004;Brno;Computer Press;1;1;1;Kadlec, Václav;
371;80-7169-356-1;Průvodce nitrem BIOSu;234;1996;Praha;Grada;1;1;1;Kadlec, Zdeněk;
373;80-251-0074-X;Microsoft Project : kompletní průvodce pro verze 2003 a 2002;597;2003;Brno;Computer Press;1;1;1;Kališ, Jan -- Hyndrák, Karel;Microsoft Office System
375;80-251-1083-4;UML srozumitelně;176;2006;Brno;Computer Press;2;1;1;Kanisová, Hana -- Müller, Miroslav;
376;80-251-0231-9;UML srozumitelně;158;2004;Brno;Computer Press;1;1;1;Kanisová, Hana -- Müller, Miroslav;
377;80-85896-61-3;DOOM II, Heretic, Hexen;11;1996;Praha;Computer Press;1;1;1;Kaňurek, Vít;
379;0-415-36976-2;Telegeoinformatics : location-based computing and services;377;2004;Boca Raton;CRC Press;;1;2;Karimi, Hassan A;
380;80-86056-31-7;ZEN a umění Internetu;168;1997;Praha;;1;1;1;Kehoe, Brendan p.;
382;80-86593-37-1;Photoshop : kniha plná triků;324;2003;Praha;Mobil Media;1;1;1;Kelby, Scott;
383;978-80-86429-78-6;Vzdělanostní společnost? : chrám, výtah a pojišťovna;183;2008;Praha;Sociologické nakladatelství;1;1;1;Keller, Jan -- Tvrdý, Lubor;
384;;Datové struktury bez předchozích znalostí;223;2006;Brno;Computer Press;1;1;1;Keogh, James Edward -- Davidson, Ken;
394;0-76458-424-3;Hacking GPS;337;2005;Indianapolis, IN;Wiley Publishing;;1;2;Kingsley-Hughes, Kathie;
395;80-86097-15-3;Hacker Proof: váš počítač, vaše sítě a vaše připojení k Internetu. Je to opravdu bezpečné?;648;1998;Brno;UNIS Publishing;1;1;1;Klander, Lars;
