exemplare_id;datum_pujceni;vratit_do;osoby_id;skutecne_vraceno;poznamka;vypujcky_id
1193;04.04.2025;27.04.2025;125;18.04.2025;;1242
11585;04.04.2025;12.04.2025;104;11.04.2025;;1264
3041;05.04.2025;30.04.2025;313;26.04.2025;Nepsát e-mail, rovnou volat.;1277
2616;06.04.2025;14.04.2025;313;12.04.2025;;1293
10582;09.04.2025;23.05.2025;402;06.05.2025;;1316
9491;09.04.2025;17.04.2025;287;14.04.2025;;1334
2957;10.04.2025;03.05.2025;11;25.04.2025;;1346
1192;10.04.2025;14.05.2025;477;30.04.2025;;1364
6224;15.04.2025;01.05.2025;183;29.04.2025;;1443
528;15.04.2025;30.04.2025;134;25.04.2025;;1455
5202;16.04.2025;09.05.2025;229;30.04.2025;;1465
3798;18.04.2025;03.05.2025;191;01.05.2025;k vìdeckému èlánku;1487
11616;20.04.2025;01.05.2025;227;01.05.2025;do výuky;1501
5032;24.04.2025;15.05.2025;479;11.05.2025;;1538
4218;24.04.2025;08.05.2025;439;07.05.2025;;1540
10652;26.04.2025;03.05.2025;526;01.05.2025;;1587
7516;26.04.2025;06.06.2025;170;21.05.2025;;1592
6515;28.04.2025;23.05.2025;28;10.05.2025;;1617
8772;30.04.2025;07.05.2025;307;05.05.2025;;1658
11369;30.04.2025;09.05.2025;450;09.05.2025;pohlídat si vèasné vrácení;1685
3908;03.05.2025;26.05.2025;536;18.05.2025;;1741
8497;05.05.2025;21.06.2025;573;11.06.2025;;1768
9176;07.05.2025;29.05.2025;227;21.05.2025;;1790
11626;08.05.2025;13.05.2025;282;13.05.2025;Pro výzkumné úèely.;1810
4393;09.05.2025;04.06.2025;495;26.05.2025;;1844
3739;09.05.2025;26.05.2025;382;20.05.2025;k habilitaci;1856
9818;09.05.2025;16.05.2025;474;15.05.2025;;1859
5489;10.05.2025;12.05.2025;243;14.05.2025;;1868
7371;18.05.2025;30.05.2025;170;29.05.2025;;2004
6675;23.05.2025;10.06.2025;96;04.06.2025;Pokud ji nevrátí v termínu, nedostane zápoèet.;2094
725;24.05.2025;10.06.2025;66;06.06.2025;;2116
5246;24.05.2025;14.06.2025;536;07.06.2025;;2118
8634;28.05.2025;21.06.2025;410;15.06.2025;;2141
8981;02.06.2025;16.07.2025;66;05.07.2025;Ruèí za ni vlastní hlavou.;2216
936;05.06.2025;06.07.2025;447;24.06.2025;;2269
2097;08.06.2025;13.07.2025;457;03.07.2025;;2319
9501;11.06.2025;07.07.2025;317;22.06.2025;;2362
11879;16.06.2025;25.06.2025;239;22.06.2025;;2411
8831;17.06.2025;25.06.2025;401;24.06.2025;;2424
4307;17.06.2025;12.07.2025;573;05.07.2025;pohlídat si vèasné vrácení;2435
10600;18.06.2025;10.07.2025;563;29.06.2025;Urèeno pro seminární práci.;2450
1524;19.06.2025;14.07.2025;100;01.07.2025;;2483
4636;19.06.2025;06.08.2025;411;17.07.2025;;2489
3626;22.06.2025;21.07.2025;486;05.07.2025;;2540
4221;22.06.2025;01.07.2025;72;28.06.2025;;2546
980;22.06.2025;08.08.2025;306;19.07.2025;;2551
6831;27.06.2025;13.07.2025;86;07.07.2025;;2611
4393;28.06.2025;06.08.2025;24;01.08.2025;;2630
5284;29.06.2025;09.07.2025;413;05.07.2025;;2646
3619;30.06.2025;05.07.2025;565;04.07.2025;;2657
9943;30.06.2025;18.07.2025;5;16.07.2025;;2661
5183;01.07.2025;24.07.2025;52;18.07.2025;k projektu;2699
2210;01.07.2025;03.07.2025;268;04.07.2025;;2702
9345;02.07.2025;19.08.2025;156;03.08.2025;;2716
4547;07.07.2025;01.08.2025;490;28.07.2025;;2797
10924;11.07.2025;21.07.2025;293;21.07.2025;;2860
4112;15.07.2025;26.07.2025;517;25.07.2025;k projektu;2932
10064;18.07.2025;02.08.2025;217;04.08.2025;;2965
613;19.07.2025;16.08.2025;402;08.08.2025;pohlídat si vèasné vrácení;3018
3806;23.07.2025;04.08.2025;11;05.08.2025;;3046
10618;23.07.2025;02.08.2025;278;02.08.2025;Ruèí za ni vlastní hlavou.;3056
1512;24.07.2025;05.08.2025;205;04.08.2025;;3080
789;24.07.2025;08.08.2025;116;06.08.2025;;3081
10680;27.07.2025;10.09.2025;82;21.08.2025;k diplomce;3135
5027;30.07.2025;31.08.2025;142;17.08.2025;;3216
2629;01.08.2025;16.08.2025;277;11.08.2025;;3239
5695;01.08.2025;24.08.2025;556;21.08.2025;;3252
1840;02.08.2025;24.08.2025;476;20.08.2025;;3265
4100;04.08.2025;16.08.2025;439;19.08.2025;Urèeno pro seminární práci.;3276
3107;05.08.2025;20.09.2025;195;03.09.2025;;3286
9853;05.08.2025;11.09.2025;96;02.09.2025;;3294
11473;09.08.2025;22.08.2025;78;25.08.2025;;3368
880;12.08.2025;23.08.2025;421;21.08.2025;;3390
6030;13.08.2025;18.08.2025;559;19.08.2025;;3443
4833;14.08.2025;22.08.2025;21;22.08.2025;;3478
7109;15.08.2025;16.09.2025;11;02.09.2025;;3504
11048;17.08.2025;30.09.2025;445;19.09.2025;;3539
3680;20.08.2025;06.09.2025;454;29.08.2025;;3563
11083;27.08.2025;15.09.2025;82;11.09.2025;;3664
6511;31.08.2025;16.09.2025;43;13.09.2025;Pro výzkumné úèely.;3723
10045;02.09.2025;10.09.2025;270;09.09.2025;;3749
7126;02.09.2025;06.10.2025;50;23.09.2025;;3754
10375;04.09.2025;21.09.2025;435;17.09.2025;;3788
9920;05.09.2025;25.09.2025;334;20.09.2025;Pro výzkumné úèely.;3800
11545;05.09.2025;17.09.2025;410;12.09.2025;;3826
10653;06.09.2025;10.10.2025;5;02.10.2025;;3829
584;08.09.2025;02.10.2025;556;22.09.2025;Zapùjèeno pro bakaláøskou práci;3856
11592;17.09.2025;23.10.2025;189;16.10.2025;Pokud ji nevrátí v termínu, nedostane zápoèet.;4024
2210;19.09.2025;28.10.2025;177;12.10.2025;;4084
8528;20.09.2025;25.09.2025;472;26.09.2025;;4116
9892;22.09.2025;01.10.2025;393;30.09.2025;;4152
1455;24.09.2025;13.10.2025;355;10.10.2025;;4172
912;25.09.2025;26.10.2025;468;14.10.2025;Pokud ji nevrátí v termínu, nedostane zápoèet.;4192
887;27.09.2025;30.09.2025;65;01.10.2025;k diplomce;4226
5385;30.09.2025;03.10.2025;255;04.10.2025;;4291
9853;30.09.2025;10.10.2025;231;09.10.2025;;4308
6828;01.10.2025;11.10.2025;207;09.10.2025;;4316
9305;02.10.2025;19.10.2025;201;16.10.2025;;4353
10375;05.10.2025;19.10.2025;100;21.10.2025;Pro disertaci;4404
6359;05.10.2025;12.10.2025;410;12.10.2025;;4409
4045;07.10.2025;26.10.2025;220;22.10.2025;;4455
7991;09.10.2025;28.10.2025;191;24.10.2025;;4465
4100;10.10.2025;13.10.2025;78;14.10.2025;pohlídat si vèasné vrácení;4499
2122;10.10.2025;16.11.2025;209;04.11.2025;;4500
6828;10.10.2025;20.11.2025;146;06.11.2025;;4512
8675;12.10.2025;05.11.2025;540;04.11.2025;;4531
7272;12.10.2025;04.11.2025;561;23.10.2025;;4539
10297;12.10.2025;14.10.2025;159;15.10.2025;studijní materiál;4544
1721;13.10.2025;20.11.2025;52;07.11.2025;;4562
8256;14.10.2025;05.11.2025;105;04.11.2025;;4573
4812;14.10.2025;17.11.2025;490;09.11.2025;;4579
7254;16.10.2025;30.11.2025;188;23.11.2025;;4606
4221;17.10.2025;07.11.2025;473;28.10.2025;Pro výzkumné úèely.;4620
9734;19.10.2025;02.11.2025;2;28.10.2025;;4646
7105;20.10.2025;29.11.2025;386;18.11.2025;pohlídat si vèasné vrácení;4669
7226;23.10.2025;23.11.2025;330;27.11.2025;;4738
10091;24.10.2025;12.11.2025;44;12.11.2025;Pro výzkumné úèely.;4766
2003;26.10.2025;16.11.2025;491;07.11.2025;do výuky;4789
11215;01.11.2025;09.11.2025;96;06.11.2025;Nepsát e-mail, rovnou volat.;4816
4436;01.11.2025;30.11.2025;139;20.11.2025;k habilitaci;4829
4976;04.11.2025;17.12.2025;403;04.12.2025;k projektu;4882
11283;09.11.2025;03.12.2025;486;05.12.2025;;4940
6716;11.11.2025;24.11.2025;450;22.11.2025;;4963
86;11.11.2025;10.12.2025;556;25.11.2025;;4965
613;12.11.2025;25.11.2025;197;21.11.2025;;4972
1361;14.11.2025;06.12.2025;169;28.11.2025;;4997
10978;18.11.2025;26.12.2025;217;18.12.2025;do výuky;5031
4949;20.11.2025;28.11.2025;253;27.11.2025;;5065
9942;21.11.2025;08.12.2025;575;07.12.2025;k vìdeckému èlánku;5083
7108;25.11.2025;22.12.2025;408;09.12.2025;;5191
9914;25.11.2025;30.11.2025;336;30.11.2025;K diplomové práci;5196
9876;26.11.2025;08.01.2026;5;20.12.2025;;5198
8882;28.11.2025;06.01.2026;166;19.12.2025;;5221
7631;29.11.2025;13.12.2025;166;15.12.2025;;5244
7573;30.11.2025;06.12.2025;1;07.12.2025;;5260
3910;30.11.2025;12.12.2025;490;11.12.2025;Pro výzkumné úèely.;5289
9556;01.12.2025;19.12.2025;107;13.12.2025;;5305
936;04.12.2025;14.01.2026;266;04.01.2026;Nepsát e-mail, rovnou volat.;5328
11995;06.12.2025;22.12.2025;99;20.12.2025;do výuky;5361
8371;07.12.2025;27.12.2025;105;19.12.2025;;5386
11792;07.12.2025;18.12.2025;201;18.12.2025;k vìdeckému èlánku;5390
11066;07.12.2025;01.01.2026;452;27.12.2025;;5396
7912;08.12.2025;17.01.2026;182;10.01.2026;;5414
10991;11.12.2025;03.01.2026;24;01.01.2026;Pro BP;5468
9620;11.12.2025;08.01.2026;430;02.01.2026;;5474
7053;13.12.2025;16.12.2025;505;16.12.2025;;5513
5813;13.12.2025;31.01.2026;119;19.01.2026;K diplomové práci;5516
9051;17.12.2025;21.01.2026;52;06.01.2026;k projektu;5589
4945;18.12.2025;29.01.2026;165;10.01.2026;;5626
4366;21.12.2025;15.01.2026;336;07.01.2026;;5669
3905;21.12.2025;05.01.2026;391;03.01.2026;;5692
6332;23.12.2025;28.12.2025;2;01.01.2026;;5729
2769;23.12.2025;18.01.2026;166;11.01.2026;Nepsát e-mail, rovnou volat.;5743
3932;25.12.2025;24.01.2026;481;15.01.2026;Nepsát e-mail, rovnou volat.;5768
7742;28.12.2025;08.01.2026;134;05.01.2026;;5818
6511;28.12.2025;07.01.2026;166;08.01.2026;;5823
1126;28.12.2025;29.01.2026;74;21.01.2026;;5851
9892;28.12.2025;17.01.2026;210;16.01.2026;;5854
11022;01.01.2026;03.01.2026;94;04.01.2026;;5871
11764;02.01.2026;11.01.2026;396;13.01.2026;;5881
7535;05.01.2026;11.01.2026;550;11.01.2026;;5939
5197;07.01.2026;12.01.2026;234;13.01.2026;;5980
880;08.01.2026;22.02.2026;468;07.02.2026;;5993
3372;09.01.2026;14.01.2026;396;14.01.2026;Pro BP;6012
10447;10.01.2026;04.02.2026;129;01.02.2026;;6032
10256;15.01.2026;06.02.2026;393;05.02.2026;;6092
5931;16.01.2026;08.02.2026;312;30.01.2026;;6129
7911;17.01.2026;26.01.2026;110;24.01.2026;;6145
613;17.01.2026;01.02.2026;524;31.01.2026;;6146
11941;19.01.2026;24.01.2026;377;24.01.2026;;6164
1273;20.01.2026;10.02.2026;426;01.02.2026;;6181
4758;21.01.2026;29.01.2026;184;30.01.2026;;6204
5460;21.01.2026;10.02.2026;460;01.02.2026;;6206
9672;22.01.2026;21.02.2026;82;13.02.2026;;6214
7254;22.01.2026;19.02.2026;148;13.02.2026;;6219
7079;23.01.2026;08.02.2026;107;07.02.2026;Pokud ji nevrátí v termínu, nedostane zápoèet.;6234
1837;27.01.2026;09.02.2026;382;05.02.2026;pohlídat si vèasné vrácení;6276
5340;01.02.2026;16.02.2026;182;15.02.2026;;6331
4797;07.02.2026;07.03.2026;94;27.02.2026;k diplomce;6376
513;08.02.2026;22.02.2026;557;20.02.2026;;6396
980;09.02.2026;26.02.2026;229;23.02.2026;;6414
4818;11.02.2026;01.03.2026;400;26.02.2026;;6441
4461;12.02.2026;24.02.2026;209;20.02.2026;;6466
5588;12.02.2026;03.03.2026;470;25.02.2026;;6471
9210;14.02.2026;07.03.2026;515;02.03.2026;;6507
11083;14.02.2026;01.04.2026;138;11.03.2026;;6522
1308;16.02.2026;25.02.2026;94;27.02.2026;;6555
4083;17.02.2026;21.02.2026;247;23.02.2026;;6563
936;21.02.2026;05.04.2026;412;18.03.2026;;6611
11879;21.02.2026;01.03.2026;100;02.03.2026;k projektu;6621
84;21.02.2026;19.03.2026;105;12.03.2026;;6622
4956;21.02.2026;31.03.2026;397;10.03.2026;;6624
4718;26.02.2026;30.03.2026;292;19.03.2026;;6700
3066;28.02.2026;18.03.2026;545;09.03.2026;;6723
5340;28.02.2026;18.03.2026;356;09.03.2026;;6724
3506;01.03.2026;09.03.2026;159;07.03.2026;k vìdeckému èlánku;6800
2883;02.03.2026;28.03.2026;458;12.03.2026;k habilitaci;6808
2482;05.03.2026;08.03.2026;566;09.03.2026;;6847
9858;08.03.2026;18.03.2026;440;18.03.2026;;6897
4543;08.03.2026;26.03.2026;191;20.03.2026;;6898
9090;10.03.2026;08.04.2026;266;25.03.2026;;6923
8401;10.03.2026;26.03.2026;239;26.03.2026;Pro výzkumné úèely.;6934
4122;11.03.2026;21.03.2026;337;19.03.2026;;6943
4013;11.03.2026;31.03.2026;247;26.03.2026;;6953
7254;12.03.2026;01.04.2026;542;23.03.2026;Ruèí za ni vlastní hlavou.;6970
8451;15.03.2026;20.04.2026;117;05.04.2026;;7002
7756;20.03.2026;07.04.2026;414;31.03.2026;;7058
5945;23.03.2026;10.04.2026;519;06.04.2026;;7113
3076;28.03.2026;13.04.2026;125;13.04.2026;;7210
3042;29.03.2026;14.04.2026;247;13.04.2026;;7222
9821;29.03.2026;10.04.2026;402;07.04.2026;Pro BP;7227
7059;29.03.2026;25.04.2026;549;22.04.2026;;7231
2281;30.03.2026;22.04.2026;452;12.04.2026;;7255
9876;31.03.2026;04.05.2026;377;25.04.2026;Urèeno pro seminární práci.;7279
5370;02.04.2026;09.04.2026;52;09.04.2026;;7297
2989;02.04.2026;20.04.2026;34;18.04.2026;;7302
11162;03.04.2026;29.04.2026;437;21.04.2026;;7328
4256;05.04.2026;21.04.2026;503;18.04.2026;;7371
2336;07.04.2026;16.04.2026;136;14.04.2026;Pro výzkumné úèely.;7405
3122;08.04.2026;01.05.2026;335;26.04.2026;Pro BP;7426
4095;09.04.2026;04.05.2026;282;20.04.2026;;7435
10600;11.04.2026;28.05.2026;274;05.05.2026;;7470
583;12.04.2026;18.05.2026;270;02.05.2026;;7513
8777;13.04.2026;14.05.2026;393;01.05.2026;;7524
4176;15.04.2026;15.05.2026;421;05.05.2026;;7556
8170;15.04.2026;03.05.2026;371;02.05.2026;Pro výzkumné úèely.;7560
5588;15.04.2026;30.04.2026;139;30.04.2026;Pokud ji nevrátí v termínu, nedostane zápoèet.;7567
1322;17.04.2026;06.05.2026;107;24.04.2026;;7600
2152;17.04.2026;03.06.2026;210;14.05.2026;;7602
7660;17.04.2026;08.05.2026;323;11.05.2026;;7610
8781;18.04.2026;21.05.2026;268;20.05.2026;Urèeno pro seminární práci.;7629
9702;22.04.2026;18.05.2026;445;11.05.2026;Nepsát e-mail, rovnou volat.;7681
11083;27.04.2026;15.05.2026;491;14.05.2026;;7757
6197;27.04.2026;18.05.2026;450;14.05.2026;;7776
4625;28.04.2026;02.05.2026;293;04.05.2026;;7785
2765;02.05.2026;24.05.2026;540;20.05.2026;;7881
1322;02.05.2026;15.06.2026;113;05.06.2026;do výuky;7887
7150;03.05.2026;02.06.2026;154;02.06.2026;;7911
4122;05.05.2026;01.06.2026;491;30.05.2026;;7952
7888;05.05.2026;18.05.2026;182;15.05.2026;Pro BP;7962
3554;07.05.2026;07.06.2026;328;07.06.2026;;7998
8549;08.05.2026;05.06.2026;491;30.05.2026;;8005
6005;08.05.2026;19.06.2026;116;05.06.2026;;8009
2210;15.05.2026;19.06.2026;472;13.06.2026;;8110
7631;15.05.2026;29.05.2026;255;29.05.2026;k vìdeckému èlánku;8123
8319;16.05.2026;21.06.2026;227;09.06.2026;;8132
756;16.05.2026;07.06.2026;481;30.05.2026;Zapùjèeno pro bakaláøskou práci;8136
5284;16.05.2026;15.06.2026;368;06.06.2026;;8141
4440;16.05.2026;21.05.2026;313;20.05.2026;;8147
4543;17.05.2026;25.06.2026;320;12.06.2026;;8176
8330;18.05.2026;21.06.2026;125;13.06.2026;;8188
9398;19.05.2026;06.06.2026;306;29.05.2026;;8216
4194;21.05.2026;10.06.2026;189;06.06.2026;k habilitaci;8262
8142;27.05.2026;10.07.2026;446;25.06.2026;;8375
7516;28.05.2026;20.06.2026;43;11.06.2026;;8379
10924;28.05.2026;12.06.2026;394;12.06.2026;;8387
5385;29.05.2026;18.06.2026;364;13.06.2026;;8406
6747;30.05.2026;30.06.2026;551;21.06.2026;;8409
7820;01.06.2026;10.06.2026;204;09.06.2026;;8429
7226;01.06.2026;18.06.2026;447;14.06.2026;;8438
12003;01.06.2026;25.06.2026;136;20.06.2026;;8450
1193;03.06.2026;27.06.2026;274;20.06.2026;;8461
5561;07.06.2026;15.06.2026;476;14.06.2026;;8511
3554;13.06.2026;29.06.2026;131;21.06.2026;Pro disertaci;8577
7628;18.06.2026;06.07.2026;231;30.06.2026;už nevím, co jsem si chtìl poznamenat;8643
10971;19.06.2026;03.07.2026;276;29.06.2026;;8659
2338;23.06.2026;13.07.2026;100;09.07.2026;;8691
4911;25.06.2026;05.07.2026;545;07.07.2026;;8730
3724;27.06.2026;30.07.2026;39;24.07.2026;;8761
6228;27.06.2026;13.07.2026;129;17.07.2026;;8765
1750;30.06.2026;09.08.2026;440;27.07.2026;k diplomce;8820
675;01.07.2026;12.08.2026;274;06.08.2026;;8834
10772;01.07.2026;25.07.2026;504;16.07.2026;;8848
684;02.07.2026;17.07.2026;248;17.07.2026;k diplomce;8850
563;02.07.2026;14.07.2026;182;13.07.2026;;8851
2259;02.07.2026;22.07.2026;307;18.07.2026;;8852
7711;11.07.2026;12.08.2026;117;26.07.2026;;8980
7649;11.07.2026;20.07.2026;440;18.07.2026;;8981
5920;15.07.2026;13.08.2026;334;03.08.2026;;9042
11253;16.07.2026;25.07.2026;414;25.07.2026;;9051
4529;19.07.2026;05.08.2026;210;30.07.2026;;9097
9821;20.07.2026;08.08.2026;197;06.08.2026;;9127
7884;20.07.2026;27.07.2026;444;27.07.2026;;9139
2960;23.07.2026;28.08.2026;131;14.08.2026;;9152
6841;24.07.2026;05.09.2026;219;19.08.2026;;9180
6306;29.07.2026;07.08.2026;490;08.08.2026;už nevím, co jsem si chtìl poznamenat;9271
7103;01.08.2026;03.09.2026;115;25.08.2026;;9315
10913;02.08.2026;10.08.2026;489;08.08.2026;;9326
10941;02.08.2026;08.08.2026;195;08.08.2026;pohlídat si vèasné vrácení;9328
5929;02.08.2026;13.08.2026;556;10.08.2026;;9336
563;03.08.2026;27.08.2026;2;20.08.2026;;9357
10895;04.08.2026;17.08.2026;287;13.08.2026;;9370
2091;06.08.2026;12.08.2026;217;12.08.2026;k projektu;9399
2861;12.08.2026;01.09.2026;99;25.08.2026;;9519
10581;13.08.2026;19.08.2026;52;18.08.2026;;9531
11834;14.08.2026;29.08.2026;217;25.08.2026;;9547
8205;14.08.2026;08.09.2026;91;31.08.2026;;9549
1013;14.08.2026;03.09.2026;99;03.09.2026;;9550
8682;15.08.2026;31.08.2026;288;28.08.2026;;9577
8241;17.08.2026;23.09.2026;191;06.09.2026;Urèeno pro seminární práci.;9617
6347;23.08.2026;01.10.2026;463;14.09.2026;;9694
3338;23.08.2026;31.08.2026;281;31.08.2026;;9701
4224;26.08.2026;01.09.2026;437;02.09.2026;Ruèí za ni vlastní hlavou.;9722
11847;26.08.2026;10.09.2026;201;05.09.2026;už nevím, co jsem si chtìl poznamenat;9724
452;27.08.2026;13.09.2026;412;09.09.2026;k vìdeckému èlánku;9733
1302;28.08.2026;30.09.2026;134;28.09.2026;;9754
2041;30.08.2026;11.09.2026;406;05.09.2026;;9796
12003;04.09.2026;06.09.2026;454;07.09.2026;;9880
10971;04.09.2026;06.09.2026;195;07.09.2026;Pro disertaci;9889
7108;04.09.2026;11.09.2026;14;08.09.2026;;9908
10163;08.09.2026;27.09.2026;496;22.09.2026;Nepsát e-mail, rovnou volat.;9968
11537;12.09.2026;04.10.2026;201;28.09.2026;Pokud ji nevrátí v termínu, nedostane zápoèet.;10039
7966;12.09.2026;04.10.2026;474;24.09.2026;;10044
4095;16.09.2026;03.10.2026;469;30.09.2026;;10103
3107;17.09.2026;20.10.2026;489;11.10.2026;Urèeno pro seminární práci.;10131
1104;18.09.2026;05.10.2026;46;04.10.2026;;10133
11603;18.09.2026;01.11.2026;442;12.10.2026;;10136
2025;19.09.2026;09.10.2026;457;04.10.2026;;10156
11420;20.09.2026;18.10.2026;6;11.10.2026;;10203
9818;23.09.2026;21.10.2026;165;16.10.2026;;10247
5460;24.09.2026;30.09.2026;259;30.09.2026;;10257
2397;24.09.2026;07.11.2026;293;21.10.2026;pro projekt EU;10265
8371;28.09.2026;18.10.2026;561;15.10.2026;Pro disertaci;10349
3622;29.09.2026;04.10.2026;436;04.10.2026;;10371
11534;29.09.2026;04.10.2026;556;05.10.2026;;10376
8964;02.10.2026;15.10.2026;394;09.10.2026;pohlídat si vèasné vrácení;10448
7969;02.10.2026;19.11.2026;220;18.11.2026;;10449
1518;03.10.2026;01.11.2026;440;19.10.2026;Nepsát e-mail, rovnou volat.;10465
4436;03.10.2026;24.10.2026;440;17.10.2026;;10473
2347;05.10.2026;26.10.2026;513;21.10.2026;;10515
10219;09.10.2026;27.11.2026;152;22.11.2026;;10573
7991;09.10.2026;13.10.2026;206;15.10.2026;;10577
10582;14.10.2026;16.11.2026;148;04.11.2026;;10647
11028;15.10.2026;21.11.2026;169;09.11.2026;;10651
3695;16.10.2026;04.11.2026;213;21.10.2026;;10671
427;17.10.2026;19.11.2026;446;03.11.2026;;10691
6303;17.10.2026;02.11.2026;517;27.10.2026;;10692
7053;21.10.2026;15.11.2026;303;02.11.2026;;10732
9060;21.10.2026;22.11.2026;361;16.11.2026;Nepsát e-mail, rovnou volat.;10734
11362;22.10.2026;18.11.2026;91;06.11.2026;;10758
11009;22.10.2026;24.11.2026;86;14.11.2026;k diplomce;10767
646;26.10.2026;19.11.2026;39;08.11.2026;;10829
2916;26.10.2026;05.11.2026;490;05.11.2026;;10835
7357;04.11.2026;22.11.2026;274;16.11.2026;;10951
1837;06.11.2026;02.12.2026;1;21.11.2026;;10976
8601;07.11.2026;26.11.2026;1;22.11.2026;;10985
5158;11.11.2026;11.12.2026;243;30.11.2026;;11021
8831;12.11.2026;14.11.2026;1;15.11.2026;;11048
10715;13.11.2026;23.11.2026;462;19.11.2026;už nevím, co jsem si chtìl poznamenat;11069
3626;15.11.2026;29.11.2026;392;25.11.2026;;11111
3500;16.11.2026;10.12.2026;494;25.11.2026;Ruèí za ni vlastní hlavou.;11128
1828;17.11.2026;17.12.2026;336;11.12.2026;;11161
10350;18.11.2026;18.12.2026;217;12.12.2026;;11178
936;22.11.2026;15.12.2026;519;07.12.2026;;11237
8535;23.11.2026;26.12.2026;336;16.12.2026;;11264
3724;26.11.2026;23.12.2026;503;12.12.2026;;11299
10658;02.12.2026;08.01.2027;307;27.12.2026;;11392
5863;02.12.2026;16.12.2026;468;12.12.2026;;11393
274;02.12.2026;03.01.2027;524;21.12.2026;;11402
3066;04.12.2026;28.12.2026;566;25.12.2026;;11426
7491;04.12.2026;18.01.2027;43;04.01.2027;Ruèí za ni vlastní hlavou.;11429
8601;04.12.2026;11.12.2026;460;07.12.2026;;11443
9821;06.12.2026;22.01.2027;300;08.01.2027;;11478
10564;07.12.2026;28.12.2026;514;28.12.2026;;11503
2511;08.12.2026;15.01.2027;282;25.12.2026;pro projekt EU;11545
2236;14.12.2026;28.12.2026;265;26.12.2026;;11613
7359;20.12.2026;22.01.2027;78;22.01.2027;;11703
7329;26.12.2026;08.01.2027;180;01.01.2027;;11760
427;27.12.2026;30.01.2027;311;22.01.2027;;11773
11909;28.12.2026;22.01.2027;182;24.01.2027;už nevím, co jsem si chtìl poznamenat;11814
9537;01.01.2027;11.01.2027;204;09.01.2027;;11829
6083;01.01.2027;11.02.2027;69;22.01.2027;;11852
6991;02.01.2027;25.01.2027;371;25.01.2027;;11854
1840;02.01.2027;30.01.2027;213;13.01.2027;;11882
8667;08.01.2027;20.02.2027;206;06.02.2027;;11960
7969;17.01.2027;01.03.2027;220;18.02.2027;;12107
6190;17.01.2027;10.02.2027;540;28.01.2027;;12121
10067;19.01.2027;21.02.2027;490;18.02.2027;;12151
6110;21.01.2027;17.02.2027;89;05.02.2027;;12171
7316;21.01.2027;17.02.2027;386;10.02.2027;;12172
6663;25.01.2027;01.02.2027;478;31.01.2027;;12233
10685;27.01.2027;12.02.2027;454;15.02.2027;Zapùjèeno pro bakaláøskou práci;12268
5073;30.01.2027;28.02.2027;430;15.02.2027;;12328
1104;01.02.2027;15.02.2027;24;14.02.2027;;12345
10277;02.02.2027;18.02.2027;289;17.02.2027;;12363
